x,y,confidence,resolution,tile_id
296.35498,532.5149,0.36932504,1.0,0
15.714269,446.47162,0.27667284,1.0,0
48.683777,318.94946,0.23889406,1.0,0
266.4605,414.03436,0.21008158,1.0,0
1185.9142,432.31873,0.35987383,1.0,1
1159.4419,555.1167,0.28808355,1.0,1
1225.7343,282.88135,0.2437924,1.0,1
1285.6028,307.81757,0.67687863,1.0,2
1428.3347,355.70996,0.6680731,1.0,2
1271.7495,545.369,0.2774586,1.0,2
1677.0498,605.112,0.24811953,1.0,2
1318.8212,471.8082,0.23882441,1.0,2
2210.6172,526.0009,0.35967427,1.0,3
2218.652,408.92346,0.3239391,1.0,3
2292.4492,427.2368,0.31538934,1.0,3
2253.041,540.548,0.29486904,1.0,3
2186.4546,538.3415,0.2536497,1.0,3
1899.3508,554.8771,0.20333007,1.0,3
2574.4521,306.0456,0.5895163,1.0,4
2720.2354,437.713,0.5321934,1.0,4
3026.9014,581.0062,0.41685325,1.0,4
3050.6638,483.09393,0.37336534,1.0,4
2677.1619,293.3592,0.2412625,1.0,4
2991.2253,503.92,0.2159284,1.0,4
2754.5078,334.14578,0.20851885,1.0,4
2868.3643,397.62775,0.20392409,1.0,4
3358.0583,600.27124,0.7101956,1.0,5
3629.58,359.6855,0.6076383,1.0,5
3186.3555,405.1709,0.5559845,1.0,5
3133.9727,514.1446,0.46533236,1.0,5
3139.869,318.81262,0.35225713,1.0,5
3080.8342,475.14664,0.27824628,1.0,5
3268.2063,505.6413,0.26004732,1.0,5
3582.7905,597.7213,0.24230671,1.0,5
3205.7002,481.711,0.21040852,1.0,5
3283.1824,584.1228,0.20671912,1.0,5
3854.1313,614.4788,0.4327384,1.0,6
4258.892,35.41251,0.3123273,1.0,6
4292.966,31.385942,0.6222029,1.0,7
4297.6143,357.60516,0.43412086,1.0,7
5037.5586,562.7471,0.31718954,1.0,8
5130.062,616.7081,0.22135133,1.0,8
49.734848,1167.7175,0.5354498,1.0,10
236.07703,628.9924,0.30866906,1.0,10
168.36134,1170.294,0.2293839,1.0,10
1186.9551,658.908,0.4956058,1.0,11
1152.3542,916.22,0.3149925,1.0,11
1232.129,1089.0725,0.286744,1.0,11
1200.1317,1188.6365,0.27561295,1.0,11
963.7741,962.79846,0.2310272,1.0,11
1795.9131,644.19965,0.56079155,1.0,12
1399.806,1144.4963,0.5416778,1.0,12
1697.9626,1120.846,0.42414325,1.0,12
1285.575,1131.8152,0.35902384,1.0,12
1785.0083,1156.0051,0.3374717,1.0,12
1257.8826,970.44775,0.31941897,1.0,12
1260.1436,653.03625,0.31376785,1.0,12
1249.2001,1090.0734,0.3083728,1.0,12
1761.4672,1098.6571,0.30105984,1.0,12
1662.4146,1014.5683,0.28694093,1.0,12
1380.9893,632.30725,0.27757317,1.0,12
1240.2102,1039.482,0.27111265,1.0,12
1382.138,1177.5344,0.23018,1.0,12
1541.118,626.8853,0.20384578,1.0,12
2328.715,1062.1886,0.677818,1.0,13
2149.2048,997.28986,0.5036245,1.0,13
1853.4465,1136.7874,0.44958153,1.0,13
1847.4468,636.8749,0.41190875,1.0,13
2244.2786,1124.7054,0.31584477,1.0,13
2095.8477,638.906,0.22698976,1.0,13
2365.468,1211.492,0.22350241,1.0,13
2804.8142,1001.86475,0.7537335,1.0,14
3037.5776,1032.7472,0.50930506,1.0,14
2657.3684,1066.7823,0.5084123,1.0,14
3031.745,637.58545,0.50162166,1.0,14
2545.8936,1084.9211,0.393017,1.0,14
2783.3955,653.57166,0.30346063,1.0,14
2559.1875,1204.7007,0.293333,1.0,14
2640.0288,1152.3519,0.27582195,1.0,14
2637.941,981.7201,0.22949556,1.0,14
3378.0457,1155.239,0.6506254,1.0,15
3593.8525,1058.2819,0.52202374,1.0,15
3073.9028,1221.7664,0.3433385,1.0,15
3542.8398,1043.0676,0.3195716,1.0,15
3086.8093,639.184,0.29810128,1.0,15
3230.7725,1055.6293,0.28439438,1.0,15
3287.3154,1215.8633,0.26586917,1.0,15
3104.585,1014.4522,0.26324874,1.0,15
3653.0847,1171.0488,0.26280022,1.0,15
3310.409,1003.0117,0.2602478,1.0,15
3166.6794,1207.1094,0.25963372,1.0,15
3632.4697,646.4778,0.23441103,1.0,15
3721.808,1172.892,0.3784137,1.0,16
3705.0522,1174.1619,0.2802719,1.0,16
3801.3877,1049.7257,0.23897631,1.0,16
4264.9155,1210.4701,0.20742351,1.0,16
4304.707,644.7845,0.6369545,1.0,17
4564.0527,1048.8518,0.28763136,1.0,17
4687.1943,1008.86914,0.27676287,1.0,17
4318.32,1041.272,0.270872,1.0,17
4306.8384,1042.6538,0.2390157,1.0,17
4930.398,1159.273,0.5660468,1.0,18
5484.1694,1213.8711,0.2824849,1.0,18
5531.627,1197.9221,0.61142725,1.0,19
5878.875,1011.6318,0.52990395,1.0,19
6077.5137,1130.867,0.4473292,1.0,19
5545.4434,1112.6638,0.3858232,1.0,19
5766.9424,1044.3108,0.322531,1.0,19
5605.675,662.1853,0.29448605,1.0,19
5524.622,1219.8542,0.2905075,1.0,19
136.56981,1319.7051,0.3894924,1.0,20
93.403885,1682.3916,0.30605558,1.0,20
1131.4266,1707.685,0.42340964,1.0,21
919.9075,1679.1199,0.35091484,1.0,21
1215.3965,1831.8323,0.226163,1.0,21
1834.1669,1836.4227,0.5334994,1.0,22
1733.7766,1809.7452,0.47266197,1.0,22
1705.0941,1686.0664,0.40662023,1.0,22
1555.742,1790.9768,0.3986192,1.0,22
1643.9426,1718.2246,0.36705726,1.0,22
1524.4248,1246.3579,0.3486516,1.0,22
1281.4244,1815.3711,0.34454298,1.0,22
1744.6084,1686.768,0.3129727,1.0,22
1771.2534,1826.051,0.25267786,1.0,22
1351.9606,1740.0269,0.23511004,1.0,22
1873.6943,1744.5325,0.6357419,1.0,23
2369.853,1706.7676,0.5106874,1.0,23
2077.7502,1671.6836,0.4390064,1.0,23
1848.3451,1242.4868,0.40461424,1.0,23
2071.309,1758.0751,0.39106956,1.0,23
2252.9905,1660.8221,0.36262524,1.0,23
2246.0068,1830.2277,0.3543454,1.0,23
2364.7686,1235.7062,0.3530489,1.0,23
1868.1128,1836.4495,0.31588954,1.0,23
1999.008,1829.189,0.29007623,1.0,23
2339.7214,1832.2266,0.27288234,1.0,23
1878.431,1833.0682,0.2394435,1.0,23
2283.8352,1241.2634,0.21913296,1.0,23
2774.1099,1660.8262,0.66707516,1.0,24
2585.9373,1783.8589,0.62086207,1.0,24
2574.3857,1697.7756,0.59458923,1.0,24
2621.79,1256.3351,0.5888806,1.0,24
3045.6904,1821.7545,0.5248985,1.0,24
2673.5098,1803.8483,0.51979005,1.0,24
2846.7634,1688.0259,0.51395243,1.0,24
3026.2273,1274.5729,0.44657767,1.0,24
2853.0479,1255.2909,0.39605612,1.0,24
2775.8745,1238.8973,0.28301316,1.0,24
2767.143,1804.629,0.23277953,1.0,24
3626.7217,1733.4701,0.7328264,1.0,25
3077.0645,1771.2842,0.57664144,1.0,25
3254.454,1754.2616,0.39978695,1.0,25
3067.473,1242.4114,0.3544287,1.0,25
3372.686,1811.2812,0.25964978,1.0,25
3633.4146,1826.353,0.21619044,1.0,25
3812.7673,1749.9949,0.4782286,1.0,26
3711.3599,1830.6399,0.3780032,1.0,26
3698.8433,1348.3273,0.358396,1.0,26
4253.011,1264.8347,0.34627897,1.0,26
3677.1692,1705.6714,0.2407406,1.0,26
3725.0825,1758.5532,0.23964384,1.0,26
4142.982,1734.1588,0.22280954,1.0,26
4074.5508,1301.5934,0.21721044,1.0,26
4317.659,1782.3926,0.48941588,1.0,27
4527.202,1246.5475,0.34708664,1.0,27
4632.506,1772.5077,0.32566053,1.0,27
4721.5186,1828.0044,0.23497374,1.0,27
4585.912,1823.8335,0.2182967,1.0,27
5486.5894,1246.3894,0.30137077,1.0,28
5037.0024,1810.8763,0.26793465,1.0,28
5252.9004,1768.2792,0.2053255,1.0,28
5548.3965,1290.7551,0.5676158,1.0,29
5528.753,1243.9098,0.5480027,1.0,29
6057.457,1787.7781,0.5408305,1.0,29
5620.6875,1783.1738,0.29996708,1.0,29
5673.345,1829.8579,0.23597606,1.0,29
5797.5874,1837.1621,0.22287959,1.0,29
152.53458,2426.007,0.6262536,1.0,30
143.00552,2327.873,0.44509995,1.0,30
49.20938,1862.2684,0.33597732,1.0,30
171.24655,1867.0414,0.27850056,1.0,30
1213.6106,1884.3611,0.6689667,1.0,31
995.35693,2326.042,0.44018477,1.0,31
1132.234,2408.957,0.37449273,1.0,31
839.70825,2353.7144,0.36858195,1.0,31
1208.06,2389.2148,0.3089677,1.0,31
1151.074,2401.7583,0.27767026,1.0,31
1213.3016,2404.7698,0.26625726,1.0,31
1350.939,2408.1848,0.6958186,1.0,32
1792.4086,2389.0107,0.492159,1.0,32
1609.5426,2405.206,0.47302765,1.0,32
1249.8474,2400.268,0.303273,1.0,32
1245.2029,1857.152,0.2815,1.0,32
1749.2087,1849.9729,0.2763405,1.0,32
1827.7711,1887.3253,0.26039147,1.0,32
